"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139"
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,3,5,4,2,0,1,1,4,5,6,14,12,16,10,13,17,20,26,31,23,26,21,34,32,41,49,51,44,41,48,53,59,43,44,41,67,62,61,60,83,86,96,83,117,121,139,156,169,173,178,186,252,229,223,185,214,280,303,311,275,217,478,392,354
"Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,6,8,9,6,6,6,6,6,5,6,6,10,16,19,25,21,17,13,12,15,16,18,20,25,28,24,17,13,11,11,11,12,17,14,16,17,21,18,15,15,20,24,26,23,26,21,19,13,13,12,11,8,7,7,10,12,13,10,8,9,7,7,4,9,13,18,17
"Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,5,4,2,1,1,1,0,2,2,6,8,11,8,8,11,14,22,37,43,42,34,46,48,51,48,58,87,112,134,152,135,111,84,72,84,81,98,84,83,74,82,82,95,116,125,120,100,92,94,96,105,115,125,130,131,155,163,168,149,156,165,181,174,178,177,187,180,174,170,177,184,187,189,190
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,16,20,20,12,13,19,25,25,30,34,40,37,34,23,19,19,21,25,24,29,26,21,19,19,19,18,15,12,12,12,12,10,10,7,4,3,2,5,3,5,4,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,2,1,0,0
"Angola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,2,3,2,2,1,1,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,1,0,0,1,3,3,2,0,0,0,2,2,3,1,1,0,1,1,1,0
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua_and_Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,1,3,3,2,0,0,0,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,1,3,2,6,5,9,8,10,11,14,21,26,43,46,48,54,79,96,101,81,77,92,74,104,56,100,106,140,121,88,80,89,87,114,103,99,98,76,96,75,132,123,121,101,115,134,97,164,115,189,116,168,142,135,132,118,118,113,142,161,197,189,139,141,262,363,367,305,309,332
"Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,8,13,19,28,23,19,15,23,19,35,33,45,36,45,32,37,36,49,60,68,66,53,32,28,20,29,28,29,31,34,48,49,54,46,44,46,51,61,61,65,68,74,71,63,62,41,66,72,114,107,120,115,132,126,137,131,143,121,121,135,156,169,188,221
"Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,3,4,5,5,4,3,7,7,9,2,3,2,3,1,3,3,4,4,4,5,3,2,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,2,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,1,1,2,3,5,8,9,7,7,7,12,13,15,19,28,41,47,59,68,89,111,140,178,333,316,442,363,448,318,337,309,393,299,294,222,280,237,173,99,90,103,103,94,79,57,43,42,45,44,39,43,38,31,20,14,14,13,16,15,13,12,11,12,10,12,13,19,22,25,24,22,18,15,11,12,11,14,18,20,21
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,5,5,8,17,23,20,19,28,48,77,107,136,166,171,226,262,393,439,459,478,612,753,752,848,805,801,595,640,630,633,504,448,352,285,257,291,329,317,307,279,230,161,142,144,135,123,97,87,60,57,71,67,78,70,68,63,60,58,56,48,35,38,37,39,38,35,50,42,38,46,44,59,44,53,59,69
